-------------------------------------------------------------------------------------------------------------------------------
|Ce. |Material          |Texto breve de material                 |UMB| Libre utilización| Stock en tránsito|         Bloqueado|
|FB87|10037632          |ISOXEL 436                              |L  |          924,859 |                0 |                0 |
|FB89|10037632          |ISOXEL 436                              |L  |                0 |                0 |                0 |
|FB91|10037632          |ISOXEL 436                              |L  |        1.285,829 |                0 |                0 |
|FB93|10037632          |ISOXEL 436                              |L  |            2.000 |                0 |                0 |
|F001|10037634          |ISORETARD 212                           |L  |          866,894 |                0 |                0 |
|F003|10037634          |ISORETARD 212                           |L  |          853,061 |                0 |                0 |
|F006|10037634          |ISORETARD 212                           |L  |        1.731,696 |                0 |                0 |
|F007|10037634          |ISORETARD 212                           |L  |          837,543 |                0 |                0 |
|F009|10037634          |ISORETARD 212                           |L  |                0 |                0 |                0 |
|F011|10037634          |ISORETARD 212                           |L  |        2.196,704 |                0 |                0 |
|F012|10037634          |ISORETARD 212                           |L  |                0 |                0 |                0 |
|F014|10037634          |ISORETARD 212                           |L  |            0,003 |                0 |                0 |
|F015|10037634          |ISORETARD 212                           |L  |              400 |                0 |                0 |
|F020|10037634          |ISORETARD 212                           |L  |           49,466 |                0 |                0 |
|F030|10037634          |ISORETARD 212                           |L  |          326,017 |                0 |                0 |
|F031|10037634          |ISORETARD 212                           |L  |                0 |                0 |                0 |
|F044|10037634          |ISORETARD 212                           |L  |                0 |                0 |                0 |
|F046|10037634          |ISORETARD 212                           |L  |            1.000 |                0 |                0 |
|F047|10037634          |ISORETARD 212                           |L  |          970,673 |                0 |                0 |
|F048|10037634          |ISORETARD 212                           |L  |                0 |                0 |                0 |
|F049|10037634          |ISORETARD 212                           |L  |        4.324,598 |                0 |                0 |
|F055|10037634          |ISORETARD 212                           |L  |        1.131,512 |                0 |                0 |
|F058|10037634          |ISORETARD 212                           |L  |            0,276 |                0 |                0 |
|F061|10037634          |ISORETARD 212                           |L  |          643,857 |                0 |                0 |
|F066|10037634          |ISORETARD 212                           |L  |        1.180,832 |                0 |                0 |
|F069|10037634          |ISORETARD 212                           |L  |        1.940,386 |                0 |                0 |
|F075|10037634          |ISORETARD 212                           |L  |            0,120 |                0 |                0 |
|F080|10037634          |ISORETARD 212                           |L  |                0 |                0 |                0 |
|F086|10037634          |ISORETARD 212                           |L  |        1.826,770 |                0 |                0 |
|FA04|10037634          |ISORETARD 212                           |L  |          825,095 |                0 |                0 |
|FA05|10037634          |ISORETARD 212                           |L  |        2.625,645 |                0 |                0 |
|FB25|10037634          |ISORETARD 212                           |L  |          871,432 |                0 |                0 |
|FB40|10037634          |ISORETARD 212                           |L  |        1.686,625 |                0 |                0 |
|FB63|10037634          |ISORETARD 212                           |L  |        1.146,488 |                0 |                0 |
|FB80|10037634          |ISORETARD 212                           |L  |            1.140 |                0 |                0 |
|FB84|10037634          |ISORETARD 212                           |L  |                0 |                0 |                0 |
|FB87|10037634          |ISORETARD 212                           |L  |            0,001 |                0 |                0 |
|FB89|10037634          |ISORETARD 212                           |L  |                0 |                0 |                0 |
|FB91|10037634          |ISORETARD 212                           |L  |                0 |                0 |                0 |
|FB93|10037634          |ISORETARD 212                           |L  |            1.000 |                0 |                0 |
|F001|10037637          |ISOPLAST 159                            |L  |                0 |                0 |                0 |
|F003|10037637          |ISOPLAST 159                            |L  |                0 |                0 |                0 |
|F006|10037637          |ISOPLAST 159                            |L  |                0 |                0 |                0 |
|F007|10037637          |ISOPLAST 159                            |L  |                0 |                0 |                0 |
|F009|10037637          |ISOPLAST 159                            |L  |        5.002,010 |                0 |                0 |
|F011|10037637          |ISOPLAST 159                            |L  |                0 |                0 |                0 |
|F012|10037637          |ISOPLAST 159                            |L  |        2.077,369 |                0 |                0 |
|F014|10037637          |ISOPLAST 159                            |L  |                0 |                0 |                0 |
|F015|10037637          |ISOPLAST 159                            |L  |        3.287,699 |                0 |                0 |
|F020|10037637          |ISOPLAST 159                            |L  |                0 |                0 |                0 |
|F030|10037637          |ISOPLAST 159                            |L  |                0 |                0 |                0 |
|F031|10037637          |ISOPLAST 159                            |L  |                0 |                0 |                0 |
|F044|10037637          |ISOPLAST 159                            |L  |                0 |                0 |                0 |
|F046|10037637          |ISOPLAST 159                            |L  |                0 |                0 |                0 |
|F055|10037637          |ISOPLAST 159                            |L  |        2.901,430 |                0 |                0 |
